Time,Altitude,VerticalVelocity
11.771,3599.644,428.762
11.821,3621.093,429.236
11.871,3642.567,429.71
11.921,3664.065,430.185
11.971,3685.586,430.661
12.021,3707.131,431.137
12.071,3728.699,431.614
12.121,3750.292,432.092
12.171,3771.909,432.57
12.221,3793.549,433.049
12.271,3815.214,433.529
12.321,3836.902,434.01
12.371,3858.615,434.493
12.421,3880.351,434.977
12.471,3902.112,435.462
12.521,3923.898,435.948
12.571,3945.707,436.435
12.621,3967.541,436.923
12.671,3989.399,437.412
12.721,4011.282,437.902
12.771,4033.19,438.392
12.821,4055.122,438.882
12.871,4077.078,439.373
12.921,4099.059,439.865
12.971,4121.065,440.359
13.021,4143.095,440.853
13.071,4165.15,441.348
13.121,4187.23,441.844
13.171,4209.334,442.341
13.221,4231.464,442.839
13.271,4253.618,443.338
13.321,4275.797,443.837
13.371,4298.002,444.338
13.421,4320.231,444.838
13.471,4342.486,445.34
13.521,4364.765,445.841
13.571,4387.07,446.344
13.621,4409.4,446.848
13.671,4431.755,447.353
13.721,4454.135,447.859
13.771,4476.541,448.368
13.821,4498.972,448.878
13.871,4521.428,449.39
13.921,4543.911,449.903
13.971,4566.419,450.417
14.021,4588.951,450.892
14.071,4611.499,450.995
14.121,4634.04,450.657
14.171,4656.553,449.883
14.221,4679.017,448.679
14.271,4701.41,447.052
14.321,4723.712,445.008
14.371,4745.9,442.55
14.421,4767.956,439.686
14.471,4789.859,436.42
14.5,4802.466,434.347
14.543,4821.263,431.159
14.593,4842.73,427.543
14.643,4864.018,423.983
14.693,4885.129,420.477
14.743,4906.067,417.025
14.793,4926.833,413.626
14.843,4947.43,410.28
14.893,4967.862,406.985
14.943,4988.13,403.741
14.993,5008.237,400.545
15.043,5028.185,397.396
15.093,5047.977,394.293
15.143,5067.615,391.235
15.193,5087.101,388.221
15.243,5106.438,385.249
15.293,5125.627,382.322
15.343,5144.671,379.447
15.393,5163.572,376.626
15.443,5182.334,373.855
15.493,5200.959,371.133
15.543,5219.448,368.458
15.593,5237.805,365.829
15.643,5256.032,363.243
15.693,5274.13,360.7
15.743,5292.103,358.198
15.793,5309.951,355.738
15.843,5327.677,353.317
15.893,5345.283,350.934
15.943,5362.771,348.583
15.993,5380.142,346.258
16.043,5397.397,343.956
16.093,5414.538,341.678
16.143,5431.565,339.423
16.193,5448.48,337.19
16.243,5465.285,334.979
16.293,5481.979,332.794
16.343,5498.565,330.64
16.393,5515.043,328.518
16.443,5531.417,326.424
16.493,5547.686,324.36
16.5,5549.815,324.091
16.51,5553.004,323.689
16.525,5557.78,323.087
16.547,5564.928,322.189
16.58,5575.612,320.852
16.63,5591.556,318.868
16.68,5607.45,316.909
16.73,5623.248,315.006
16.78,5638.952,313.16
16.83,5654.565,311.368
16.88,5670.09,309.629
16.93,5685.529,307.938
16.98,5700.884,306.296
17.03,5716.159,304.698
17.08,5731.355,303.144
17.13,5746.474,301.632
17.18,5761.519,300.179
17.23,5776.493,298.804
17.28,5791.401,297.501
17.33,5806.245,296.267
17.38,5821.028,295.095
17.43,5835.755,293.981
17.48,5850.427,292.92
17.53,5865.047,291.877
17.58,5879.615,290.839
17.63,5894.131,289.808
17.68,5908.596,288.783
17.73,5923.01,287.764
17.78,5937.373,286.752
17.83,5951.685,285.746
17.88,5965.947,284.746
17.93,5980.16,283.752
17.98,5994.323,282.764
18.03,6008.436,281.782
18.08,6022.501,280.805
18.13,6036.517,279.834
18.18,6050.484,278.867
18.23,6064.404,277.906
18.28,6078.275,276.95
18.33,6092.099,275.998
18.38,6105.875,275.052
18.43,6119.604,274.11
18.48,6133.286,273.173
18.53,6146.921,272.242
18.58,6160.51,271.315
18.63,6174.053,270.393
18.68,6187.55,269.476
18.73,6201.001,268.564
18.78,6214.406,267.656
18.83,6227.766,266.754
18.88,6241.082,265.856
18.93,6254.352,264.962
18.98,6267.578,264.073
19.03,6280.759,263.188
19.08,6293.897,262.307
19.13,6306.99,261.429
19.18,6320.04,260.556
19.23,6333.046,259.686
19.28,6346.008,258.82
19.33,6358.928,257.958
19.38,6371.804,257.099
19.43,6384.638,256.245
19.48,6397.429,255.394
19.53,6410.177,254.546
19.58,6422.883,253.703
19.63,6435.548,252.864
19.68,6448.17,252.029
19.73,6460.751,251.198
19.78,6473.29,250.37
19.83,6485.788,249.546
19.88,6498.244,248.726
19.93,6510.66,247.908
19.98,6523.035,247.094
20.03,6535.37,246.283
20.08,6547.664,245.475
20.13,6559.917,244.67
20.18,6572.131,243.868
20.23,6584.304,243.068
20.28,6596.438,242.271
20.33,6608.531,241.477
20.38,6620.585,240.686
20.43,6632.6,239.898
20.48,6644.575,239.113
20.53,6656.511,238.331
20.58,6668.408,237.553
20.63,6680.267,236.777
20.68,6692.086,236.005
20.73,6703.867,235.236
20.78,6715.61,234.469
20.83,6727.314,233.706
20.88,6738.98,232.945
20.93,6750.609,232.186
20.98,6762.199,231.431
21.03,6773.752,230.678
21.08,6785.267,229.927
21.13,6796.745,229.179
21.18,6808.185,228.433
21.23,6819.588,227.69
21.28,6830.954,226.948
21.33,6842.283,226.208
21.38,6853.575,225.471
21.43,6864.83,224.735
21.48,6876.048,224.002
21.53,6887.23,223.272
21.58,6898.376,222.543
21.63,6909.485,221.818
21.68,6920.557,221.095
21.73,6931.594,220.374
21.78,6942.595,219.656
21.83,6953.56,218.94
21.88,6964.489,218.226
21.93,6975.382,217.514
21.98,6986.24,216.805
22.03,6997.063,216.098
22.08,7007.85,215.393
22.13,7018.602,214.69
22.18,7029.319,213.989
22.23,7040.001,213.29
22.28,7050.648,212.593
22.33,7061.26,211.898
22.38,7071.838,211.205
22.43,7082.381,210.513
22.48,7092.889,209.823
22.53,7103.363,209.135
22.58,7113.803,208.449
22.63,7124.208,207.764
22.68,7134.579,207.081
22.73,7144.916,206.4
22.78,7155.219,205.721
22.83,7165.489,205.043
22.88,7175.724,204.367
22.93,7185.925,203.692
22.98,7196.093,203.02
23.03,7206.227,202.349
23.08,7216.328,201.68
23.13,7226.395,201.013
23.18,7236.429,200.348
23.23,7246.43,199.685
23.28,7256.398,199.023
23.33,7266.332,198.363
23.38,7276.234,197.705
23.43,7286.103,197.048
23.48,7295.939,196.393
23.53,7305.742,195.739
23.58,7315.513,195.087
23.63,7325.251,194.436
23.68,7334.957,193.787
23.73,7344.63,193.139
23.78,7354.27,192.492
23.83,7363.879,191.847
23.88,7373.455,191.203
23.93,7382.999,190.561
23.98,7392.511,189.92
24.03,7401.991,189.28
24.08,7411.439,188.642
24.13,7420.855,188.005
24.18,7430.24,187.369
24.23,7439.592,186.735
24.28,7448.913,186.102
24.33,7458.203,185.47
24.38,7467.46,184.84
24.43,7476.687,184.211
24.48,7485.881,183.583
24.53,7495.045,182.956
24.58,7504.177,182.331
24.63,7513.278,181.707
24.68,7522.348,181.084
24.73,7531.386,180.463
24.78,7540.394,179.843
24.83,7549.371,179.224
24.88,7558.316,178.607
24.93,7567.231,177.991
24.98,7576.116,177.376
25.03,7584.969,176.762
25.08,7593.792,176.149
25.13,7602.584,175.538
25.18,7611.346,174.927
25.23,7620.077,174.318
25.28,7628.777,173.709
25.33,7637.448,173.102
25.38,7646.088,172.496
25.43,7654.697,171.891
25.48,7663.277,171.287
25.53,7671.826,170.684
25.58,7680.345,170.082
25.63,7688.834,169.481
25.68,7697.293,168.881
25.73,7705.722,168.283
25.78,7714.122,167.684
25.83,7722.491,167.087
25.88,7730.83,166.491
25.93,7739.14,165.896
25.98,7747.42,165.302
26.03,7755.67,164.709
26.08,7763.891,164.116
26.13,7772.082,163.525
26.18,7780.243,162.934
26.23,7788.375,162.345
26.28,7796.478,161.756
26.33,7804.551,161.169
26.38,7812.595,160.582
26.43,7820.609,159.997
26.48,7828.594,159.412
26.53,7836.55,158.829
26.58,7844.477,158.246
26.63,7852.375,157.664
26.68,7860.244,157.083
26.73,7868.083,156.503
26.78,7875.894,155.924
26.83,7883.676,155.346
26.88,7891.429,154.769
26.93,7899.153,154.193
26.98,7906.848,153.617
27.03,7914.514,153.042
27.08,7922.152,152.468
27.13,7929.761,151.895
27.18,7937.342,151.323
27.23,7944.894,150.751
27.28,7952.417,150.18
27.33,7959.912,149.61
27.38,7967.378,149.041
27.43,7974.816,148.473
27.48,7982.225,147.905
27.53,7989.606,147.338
27.58,7996.959,146.772
27.63,8004.283,146.206
27.68,8011.58,145.641
27.73,8018.848,145.077
27.78,8026.087,144.513
27.83,8033.299,143.95
27.88,8040.482,143.388
27.93,8047.638,142.826
27.98,8054.765,142.265
28.03,8061.864,141.704
28.08,8068.935,141.144
28.13,8075.979,140.585
28.18,8082.994,140.027
28.23,8089.981,139.469
28.28,8096.941,138.912
28.33,8103.873,138.355
28.38,8110.776,137.8
28.43,8117.652,137.244
28.48,8124.501,136.69
28.53,8131.321,136.136
28.58,8138.114,135.583
28.63,8144.88,135.03
28.68,8151.617,134.479
28.73,8158.328,133.928
28.78,8165.01,133.378
28.83,8171.665,132.828
28.88,8178.293,132.279
28.93,8184.893,131.731
28.98,8191.466,131.183
29.03,8198.012,130.636
29.08,8204.53,130.09
29.13,8211.021,129.544
29.18,8217.484,128.999
29.23,8223.92,128.454
29.28,8230.33,127.91
29.33,8236.711,127.367
29.38,8243.066,126.824
29.43,8249.394,126.281
29.48,8255.694,125.739
29.53,8261.968,125.198
29.58,8268.214,124.658
29.63,8274.434,124.118
29.68,8280.626,123.578
29.73,8286.791,123.039
29.78,8292.93,122.5
29.83,8299.041,121.962
29.88,8305.126,121.425
29.93,8311.184,120.887
29.98,8317.215,120.351
30.03,8323.219,119.814
30.08,8329.196,119.278
30.13,8335.147,118.743
30.18,8341.071,118.208
30.23,8346.968,117.674
30.28,8352.838,117.14
30.33,8358.682,116.606
30.38,8364.499,116.073
30.43,8370.289,115.541
30.48,8376.053,115.009
30.53,8381.79,114.477
30.58,8387.5,113.945
30.63,8393.184,113.414
30.68,8398.842,112.884
30.73,8404.473,112.353
30.78,8410.077,111.823
30.83,8415.655,111.294
30.88,8421.207,110.765
30.93,8426.732,110.236
30.98,8432.23,109.708
31.03,8437.702,109.18
31.08,8443.148,108.652
31.13,8448.568,108.125
31.18,8453.961,107.598
31.23,8459.327,107.072
31.28,8464.668,106.547
31.33,8469.982,106.022
31.38,8475.27,105.497
31.43,8480.532,104.973
31.48,8485.767,104.449
31.53,8490.977,103.925
31.58,8496.16,103.402
31.63,8501.317,102.88
31.68,8506.448,102.357
31.73,8511.553,101.836
31.78,8516.631,101.314
31.83,8521.684,100.793
31.88,8526.711,100.273
31.93,8531.711,99.753
31.98,8536.686,99.233
32.03,8541.635,98.714
32.08,8546.557,98.195
32.13,8551.454,97.676
32.18,8556.325,97.158
32.23,8561.17,96.641
32.28,8565.989,96.123
32.33,8570.782,95.606
32.38,8575.55,95.09
32.43,8580.291,94.573
32.48,8585.007,94.058
32.53,8589.697,93.542
32.58,8594.361,93.027
32.63,8599,92.512
32.68,8603.613,91.997
32.73,8608.2,91.483
32.78,8612.761,90.969
32.83,8617.296,90.456
32.88,8621.806,89.942
32.93,8626.291,89.429
32.98,8630.749,88.917
33.03,8635.182,88.404
33.08,8639.59,87.892
33.13,8643.972,87.38
33.18,8648.328,86.869
33.23,8652.659,86.358
33.28,8656.964,85.847
33.33,8661.243,85.336
33.38,8665.497,84.826
33.43,8669.726,84.315
33.48,8673.929,83.805
33.53,8678.106,83.296
33.58,8682.258,82.786
33.63,8686.385,82.277
33.68,8690.486,81.768
33.73,8694.562,81.259
33.78,8698.612,80.75
33.83,8702.637,80.242
33.88,8706.636,79.734
33.93,8710.61,79.226
33.98,8714.559,78.718
34.03,8718.482,78.211
34.08,8722.38,77.704
34.13,8726.252,77.197
34.18,8730.1,76.69
34.23,8733.921,76.184
34.28,8737.718,75.677
34.33,8741.489,75.171
34.38,8745.235,74.666
34.43,8748.956,74.16
34.48,8752.651,73.655
34.53,8756.321,73.15
34.58,8759.966,72.646
34.63,8763.586,72.141
34.68,8767.18,71.637
34.73,8770.75,71.133
34.78,8774.294,70.63
34.83,8777.813,70.126
34.88,8781.306,69.623
34.93,8784.775,69.12
34.98,8788.218,68.617
35.03,8791.636,68.114
35.08,8795.03,67.612
35.13,8798.398,67.11
35.18,8801.741,66.608
35.23,8805.059,66.106
35.28,8808.351,65.605
35.33,8811.619,65.104
35.38,8814.862,64.603
35.43,8818.079,64.102
35.48,8821.272,63.602
35.53,8824.439,63.101
35.58,8827.582,62.601
35.63,8830.7,62.102
35.68,8833.792,61.602
35.73,8836.86,61.103
35.78,8839.902,60.603
35.83,8842.92,60.104
35.88,8845.913,59.606
35.93,8848.881,59.107
35.98,8851.824,58.609
36.03,8854.742,58.11
36.08,8857.635,57.612
36.13,8860.503,57.114
36.18,8863.346,56.617
36.23,8866.165,56.119
36.28,8868.958,55.622
36.33,8871.727,55.125
36.38,8874.471,54.628
36.43,8877.19,54.131
36.48,8879.884,53.634
36.53,8882.553,53.138
36.58,8885.197,52.641
36.63,8887.817,52.145
36.68,8890.412,51.649
36.73,8892.982,51.154
36.78,8895.527,50.658
36.83,8898.048,50.162
36.88,8900.544,49.667
36.93,8903.015,49.172
36.98,8905.461,48.677
37.03,8907.882,48.182
37.08,8910.279,47.688
37.13,8912.651,47.193
37.18,8914.998,46.699
37.23,8917.321,46.204
37.28,8919.619,45.71
37.33,8921.892,45.216
37.38,8924.14,44.722
37.43,8926.364,44.228
37.48,8928.563,43.735
37.53,8930.738,43.241
37.58,8932.887,42.748
37.63,8935.012,42.255
37.68,8937.113,41.762
37.73,8939.189,41.269
37.78,8941.24,40.776
37.83,8943.266,40.283
37.88,8945.268,39.791
37.93,8947.245,39.299
37.98,8949.198,38.806
38.03,8951.126,38.314
38.08,8953.029,37.822
38.13,8954.908,37.33
38.18,8956.762,36.839
38.23,8958.592,36.347
38.28,8960.397,35.856
38.33,8962.178,35.364
38.38,8963.934,34.873
38.43,8965.665,34.382
38.48,8967.372,33.89
38.53,8969.054,33.4
38.58,8970.712,32.909
38.63,8972.345,32.418
38.68,8973.953,31.927
38.73,8975.538,31.437
38.78,8977.097,30.946
38.83,8978.632,30.456
38.88,8980.143,29.966
38.93,8981.629,29.476
38.98,8983.09,28.986
39.03,8984.527,28.496
39.08,8985.94,28.006
39.13,8987.328,27.516
39.18,8988.692,27.027
39.23,8990.031,26.537
39.28,8991.345,26.048
39.33,8992.635,25.559
39.38,8993.901,25.069
39.43,8995.142,24.58
39.48,8996.359,24.091
39.53,8997.552,23.602
39.58,8998.719,23.113
39.63,8999.863,22.625
39.68,9000.982,22.136
39.73,9002.076,21.648
39.78,9003.147,21.159
39.83,9004.192,20.671
39.88,9005.214,20.183
39.93,9006.211,19.694
39.98,9007.183,19.206
40.03,9008.131,18.718
40.08,9009.055,18.231
40.13,9009.954,17.743
40.18,9010.829,17.255
40.23,9011.68,16.767
40.28,9012.506,16.28
40.33,9013.308,15.792
40.38,9014.085,15.305
40.43,9014.838,14.818
40.48,9015.567,14.33
40.53,9016.271,13.843
40.58,9016.951,13.356
40.63,9017.607,12.87
40.68,9018.238,12.383
40.73,9018.845,11.896
40.78,9019.428,11.41
40.83,9019.986,10.923
40.88,9020.52,10.437
40.93,9021.03,9.951
40.98,9021.515,9.464
41.03,9021.976,8.978
41.08,9022.413,8.492
41.13,9022.826,8.006
41.18,9023.214,7.52
41.23,9023.578,7.034
41.28,9023.917,6.548
41.33,9024.232,6.063
41.38,9024.523,5.577
41.43,9024.79,5.092
41.48,9025.033,4.607
41.53,9025.251,4.121
41.58,9025.445,3.636
41.63,9025.614,3.151
41.68,9025.76,2.665
41.73,9025.881,2.18
41.78,9025.978,1.694
41.83,9026.05,1.209
41.88,9026.099,0.723
41.93,9026.123,0.238
# Event APOGEE occurred at t=41.98 seconds,,
41.98,9026.123,-0.247
42.03,9026.098,-0.733
42.08,9026.049,-1.218
42.13,9025.976,-1.702
42.18,9025.879,-2.187
42.23,9025.758,-2.671
42.28,9025.612,-3.156
42.33,9025.442,-3.64
42.38,9025.248,-4.123
42.43,9025.03,-4.607
42.48,9024.787,-5.09
42.53,9024.521,-5.573
42.58,9024.23,-6.056
42.63,9023.915,-6.538
42.68,9023.576,-7.02
42.73,9023.213,-7.501
42.78,9022.826,-7.982
42.83,9022.415,-8.462
42.88,9021.98,-8.942
42.93,9021.521,-9.421
42.98,9021.038,-9.9
43.03,9020.531,-10.378
43.08,9020,-10.855
43.13,9019.445,-11.331
43.18,9018.867,-11.806
43.23,9018.265,-12.28
43.28,9017.639,-12.754
43.33,9016.989,-13.227
43.38,9016.316,-13.699
43.43,9015.62,-14.171
43.48,9014.899,-14.642
43.53,9014.155,-15.112
43.58,9013.388,-15.582
43.63,9012.597,-16.05
43.68,9011.783,-16.519
43.73,9010.945,-16.986
43.78,9010.084,-17.453
43.83,9009.2,-17.919
43.88,9008.292,-18.385
43.93,9007.362,-18.849
43.98,9006.408,-19.313
44.03,9005.43,-19.776
44.08,9004.43,-20.238
44.13,9003.406,-20.7
44.18,9002.36,-21.161
44.23,9001.29,-21.621
44.28,9000.198,-22.081
44.33,8999.082,-22.539
44.38,8997.944,-22.998
44.43,8996.783,-23.455
44.48,8995.598,-23.912
44.53,8994.391,-24.368
44.58,8993.162,-24.824
44.63,8991.909,-25.279
44.68,8990.634,-25.734
44.73,8989.336,-26.188
44.78,8988.015,-26.641
44.83,8986.672,-27.094
44.88,8985.306,-27.546
44.93,8983.917,-27.999
44.98,8982.506,-28.45
45.03,8981.072,-28.902
45.08,8979.616,-29.353
45.13,8978.137,-29.804
45.18,8976.635,-30.255
45.23,8975.111,-30.706
45.28,8973.565,-31.157
45.33,8971.995,-31.607
45.38,8970.404,-32.058
45.43,8968.79,-32.508
45.48,8967.153,-32.959
45.53,8965.494,-33.409
45.58,8963.812,-33.86
45.63,8962.108,-34.31
45.68,8960.381,-34.761
45.73,8958.632,-35.212
45.78,8956.86,-35.664
45.83,8955.065,-36.115
45.88,8953.248,-36.567
45.93,8951.408,-37.019
45.98,8949.546,-37.471
46.03,8947.661,-37.924
46.08,8945.754,-38.377
46.13,8943.824,-38.831
46.18,8941.871,-39.285
46.23,8939.895,-39.739
46.28,8937.897,-40.193
46.33,8935.876,-40.648
46.38,8933.832,-41.104
46.43,8931.765,-41.559
46.48,8929.676,-42.015
46.53,8927.564,-42.471
46.58,8925.429,-42.928
46.63,8923.271,-43.385
46.68,8921.09,-43.842
46.73,8918.887,-44.299
46.78,8916.66,-44.757
46.83,8914.411,-45.215
46.88,8912.139,-45.673
46.93,8909.844,-46.131
46.98,8907.526,-46.589
47.03,8905.185,-47.047
47.08,8902.821,-47.505
47.13,8900.434,-47.963
47.18,8898.025,-48.421
47.23,8895.592,-48.878
47.28,8893.137,-49.335
47.33,8890.659,-49.792
47.38,8888.158,-50.248
47.43,8885.634,-50.703
47.48,8883.088,-51.158
47.53,8880.518,-51.611
47.58,8877.927,-52.063
47.63,8875.312,-52.515
47.68,8872.675,-52.965
47.73,8870.016,-53.414
47.78,8867.334,-53.862
47.83,8864.629,-54.308
47.88,8861.903,-54.751
47.93,8859.154,-55.193
47.98,8856.384,-55.633
48.03,8853.591,-56.07
48.08,8850.777,-56.504
48.13,8847.941,-56.935
48.18,8845.083,-57.364
48.23,8842.204,-57.788
48.28,8839.304,-58.209
48.33,8836.384,-58.626
48.38,8833.442,-59.039
48.43,8830.48,-59.447
48.48,8827.497,-59.851
48.53,8824.495,-60.25
48.58,8821.472,-60.643
48.63,8818.431,-61.031
48.68,8815.369,-61.412
48.73,8812.289,-61.788
48.78,8809.191,-62.157
48.83,8806.074,-62.52
48.88,8802.939,-62.877
48.93,8799.786,-63.227
48.98,8796.616,-63.57
49.03,8793.429,-63.907
49.08,8790.226,-64.237
49.13,8787.006,-64.561
49.18,8783.77,-64.877
49.23,8780.518,-65.187
49.28,8777.251,-65.49
49.33,8773.969,-65.787
49.38,8770.673,-66.078
49.43,8767.362,-66.362
49.48,8764.036,-66.64
49.53,8760.698,-66.913
49.58,8757.345,-67.181
49.63,8753.98,-67.444
49.68,8750.601,-67.703
49.73,8747.209,-67.958
49.78,8743.805,-68.209
49.83,8740.389,-68.456
49.88,8736.96,-68.7
49.93,8733.519,-68.942
49.98,8730.065,-69.183
50.03,8726.6,-69.423
50.08,8723.123,-69.661
50.13,8719.634,-69.899
50.18,8716.133,-70.137
50.23,8712.62,-70.376
50.28,8709.096,-70.616
50.33,8705.559,-70.857
50.38,8702.01,-71.1
50.43,8698.449,-71.345
50.48,8694.875,-71.594
50.53,8691.289,-71.845
50.58,8687.691,-72.1
50.63,8684.079,-72.358
50.68,8680.455,-72.62
50.73,8676.817,-72.887
50.78,8673.166,-73.158
50.83,8669.501,-73.433
50.88,8665.823,-73.712
50.93,8662.13,-73.995
50.98,8658.423,-74.283
51.03,8654.702,-74.575
51.08,8650.966,-74.872
51.13,8647.214,-75.174
51.18,8643.448,-75.48
51.23,8639.666,-75.789
51.28,8635.869,-76.102
51.33,8632.056,-76.417
51.38,8628.227,-76.736
51.43,8624.383,-77.057
51.48,8620.522,-77.38
51.53,8616.645,-77.705
51.58,8612.751,-78.03
51.63,8608.842,-78.356
51.68,8604.916,-78.682
51.73,8600.973,-79.008
51.78,8597.015,-79.332
51.83,8593.04,-79.655
51.88,8589.049,-79.976
51.93,8585.043,-80.293
51.98,8581.02,-80.607
52.03,8576.982,-80.916
52.08,8572.929,-81.22
52.13,8568.86,-81.518
52.18,8564.777,-81.809
52.23,8560.679,-82.092
